month,total number of job postings,company
12-Oct,5,deutsche.bank
12-Nov,4,deutsche.bank
12-Dec,6,deutsche.bank
13-Jan,5,deutsche.bank
13-Feb,1,deutsche.bank
13-Mar,7,deutsche.bank
13-Apr,5,deutsche.bank
13-May,6,deutsche.bank
13-Jun,9,deutsche.bank
13-Jul,17,deutsche.bank
13-Aug,6,deutsche.bank
13-Sep,93,deutsche.bank
13-Oct,79,deutsche.bank
13-Nov,72,deutsche.bank
13-Dec,28,deutsche.bank
14-Jan,21,deutsche.bank
14-Feb,49,deutsche.bank
14-Mar,42,deutsche.bank
14-Apr,13,deutsche.bank
14-May,4,deutsche.bank
14-Jun,4,deutsche.bank
14-Jul,11,deutsche.bank
14-Aug,5,deutsche.bank
14-Sep,132,deutsche.bank
14-Oct,11,deutsche.bank
14-Nov,9,deutsche.bank
14-Dec,175,deutsche.bank
15-Jan,29,deutsche.bank
15-Feb,2,deutsche.bank
15-Mar,33,deutsche.bank
15-Apr,109,deutsche.bank
15-May,264,deutsche.bank
15-Jun,166,deutsche.bank
15-Jul,147,deutsche.bank
15-Aug,230,deutsche.bank
15-Sep,182,deutsche.bank
15-Oct,233,deutsche.bank
15-Nov,193,deutsche.bank
15-Dec,66,deutsche.bank
16-Jan,25,deutsche.bank
16-Feb,48,deutsche.bank
16-Mar,242,deutsche.bank
16-Apr,239,deutsche.bank
16-May,170,deutsche.bank
16-Jun,78,deutsche.bank
12-Jan,64,the.bank.of.new.york.mellon
12-Feb,78,the.bank.of.new.york.mellon
12-Mar,137,the.bank.of.new.york.mellon
12-Apr,122,the.bank.of.new.york.mellon
12-May,115,the.bank.of.new.york.mellon
12-Jun,123,the.bank.of.new.york.mellon
12-Jul,137,the.bank.of.new.york.mellon
12-Aug,86,the.bank.of.new.york.mellon
12-Sep,88,the.bank.of.new.york.mellon
12-Oct,173,the.bank.of.new.york.mellon
12-Nov,70,the.bank.of.new.york.mellon
12-Dec,101,the.bank.of.new.york.mellon
13-Jan,109,the.bank.of.new.york.mellon
13-Feb,148,the.bank.of.new.york.mellon
13-Mar,122,the.bank.of.new.york.mellon
13-Apr,45,the.bank.of.new.york.mellon
13-May,87,the.bank.of.new.york.mellon
13-Jun,51,the.bank.of.new.york.mellon
13-Jul,321,the.bank.of.new.york.mellon
13-Aug,184,the.bank.of.new.york.mellon
13-Sep,266,the.bank.of.new.york.mellon
13-Oct,168,the.bank.of.new.york.mellon
13-Nov,175,the.bank.of.new.york.mellon
13-Dec,140,the.bank.of.new.york.mellon
14-Jan,184,the.bank.of.new.york.mellon
14-Feb,104,the.bank.of.new.york.mellon
14-Mar,260,the.bank.of.new.york.mellon
14-Apr,175,the.bank.of.new.york.mellon
14-May,117,the.bank.of.new.york.mellon
14-Jun,181,the.bank.of.new.york.mellon
14-Jul,63,the.bank.of.new.york.mellon
14-Aug,184,the.bank.of.new.york.mellon
14-Sep,111,the.bank.of.new.york.mellon
14-Oct,99,the.bank.of.new.york.mellon
14-Nov,92,the.bank.of.new.york.mellon
14-Dec,70,the.bank.of.new.york.mellon
15-Jan,83,the.bank.of.new.york.mellon
15-Feb,130,the.bank.of.new.york.mellon
15-Mar,193,the.bank.of.new.york.mellon
15-Apr,156,the.bank.of.new.york.mellon
15-May,89,the.bank.of.new.york.mellon
15-Jun,126,the.bank.of.new.york.mellon
